producto_id,nombre,precio,descuento,categoria,subcategoria,color,talla
101,Bermuda Unicolor Slim Fit para Hombre 40163,98515.0,-15.0,HOMBRE,"Ropa, Bermudas",Azul Prusia,32
103,Gorra Malla con Aplique para Hombre 12427,35900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Negro,UNICA
104,Jogger en Denim para Hombre 05211,139900.0,0.0,HOMBRE,"Ropa, Jeans",Azul Prusia,L
105,Suéter Clásico en Algodón para Hombre 36371,129900.0,0.0,HOMBRE,"Ropa, Suéteres y Cardigans",Arena,L
106,Camisa A Cuadros Manga Larga para Hombre 36351,139900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Beige,L
107,Camisa Casual Cuadros para Hombre 12462,59900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Verde Enebro,L
108,Chaqueta con Cuello Alto en Imitación Cuero 35987,274900.0,0.0,HOMBRE,"Ropa, Chaquetas","Negro, Ganache",L
109,Zapatos Casuales con Pieza Contorno en Contraste en Cuero para Hombre 23981,269900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Azul Prusia, Ganache",42
110,Polo Moda Regular Fit para Hombre 36799,84915.0,-15.0,HOMBRE,"Polos, Ropa",Multicolor,L
111,Jean en Silueta Slim Lavado Blanco 35846,149900.0,0.0,HOMBRE,"Ropa, Jeans",Blanco,32
112,Gorro Tejido para Hombre 34223,44900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas","Azul Marino, Rojo Carmín",UNICA
113,Gorra Beisbolera Bordada para Hombre 12161,35900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Escarlata,UNICA
114,Blazer Unicolor para Hombre 12201,234900.0,0.0,HOMBRE,"Ropa, Blazers",Khaki,L
115,Camisa Business Algodón Europeo para Hombre 30488,179900.0,0.0,HOMBRE,"Camisas, Camisas Business, Ropa",Blanco,L
116,Gorra Beisbolera para Hombre 12425,35900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Gris Oscuro,UNICA
117,Jogger en Tejido de Punto para Hombre 12611,64900.0,0.0,HOMBRE,"Pantalones, Ropa, Joggers",Azul Prusia,L
118,Pantaloneta Estampada para Hombre 37308,76415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Verde Malaquita,L
119,Zapato Formal con Contraste de Placa 31598,239900.0,0.0,HOMBRE,"Zapatos Formales, Zapatos","Café, Negro",42
120,Pantalón Unicolor para Hombre 12556,99900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales",Azul Prusia,38
121,Blazer Business para Hombre 21883,305175.0,-25.0,HOMBRE,"Ropa, Blazers",Gris Carbón,L
122,Gorra Beisbolera para Hombre 12428,39900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Blanco,UNICA
124,Chaqueta Casual para Hombre 23589,319900.0,0.0,HOMBRE,"Ropa, Chaquetas","Azul Prusia, Gris Grafito",L
125,Camisa Hawaiana para Hombre 03155,170000.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Lima,M
126,Pantalón Unicolor Regular Fit para Hombre 12480,99900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales",Café Oscuro,42
127,Camiseta Estampada para Hombre 12658,29665.0,-15.0,HOMBRE,"Ropa, Camisetas",Mostaza,L
128,Zapato Formal con Corte Lateral 35429,240900.0,0.0,HOMBRE,"Zapatos Formales, Zapatos","Negro, Chocolate",42
129,Blazer Business para Hombre 37931,309900.0,0.0,HOMBRE,"Ropa, Blazers",Negro,L
130,Zapatos en Cuero para Hombre 12004,149900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos",Blanco,42
131,Bota Casual con Suela de Caja Deportiva Y Contraste de Texturas 38651,289900.0,0.0,HOMBRE,"Zapatos, Botas",Canela,42
132,Medias Formales con Diseño para Hombre 37078,19900.0,0.0,HOMBRE,"Medias, Ropa Interior, Ropa",Gris,10-12
133,Pantaloneta de Baño Estampada para Niño 03013,144500.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Habano,L
134,Camiseta Deportiva para Hombre 12168,33915.0,-15.0,HOMBRE,"Ropa, Camisetas","Negro, Navy",L
135,Camiseta Estampada Slim Fit para Hombre 37868,50915.0,-15.0,HOMBRE,"Ropa, Camisetas",Azul Prusia,L
136,Pantaloneta de Baño a Rayas para Hombre 38350,76415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Multicolor,L
137,Zapatos Casuales con Placa de Puntos 31617,254900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Azul Prusia, Ganache",42
138,Bóxer Medio Ajuste Ergonómico para Hombre 39146,36900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Bóxers",Blanco,L
139,Camisa Business para Hombre 27323,119900.0,0.0,HOMBRE,"Camisas, Camisas Business, Ropa",Blanco,L
140,Camisa Casual Unicolor Manga Corta para Hombre 12506,69900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Rojo,L
141,Camisa Unicolor Manga Corta para Hombre 02976,210000.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Lino",Fucsia,M
142,Chaqueta Cuello Alto para Hombre 36401,249900.0,0.0,HOMBRE,"Ropa, Chaquetas",Aguamarina,L
144,Pantaloneta Estampada para Hombre 35390,76415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Esmeralda,L
145,Zapato Business con Suela Corrida 35434,249900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Azul Marino, Canela",42
146,Camisa Casual Textura Manga Larga para Hombre 12468,69900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Azul Marino,L
147,Chaqueta Moda con Frase Estampada para Hombre 05338,229900.0,0.0,HOMBRE,"Ropa, Chaquetas",Habano,L
150,Camisa Estampada Manga Larga para Hombre 36317,126900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Khaki,L
151,Pantalón Unicolor Regular Fit para Hombre 34152,142425.0,-25.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales",Khaki,42
152,Chaleco con Cremallera para Hombre 23609,170175.0,-25.0,HOMBRE,"Ropa, Chalecos, Chalecos Casuales","Navy, Vinotinto",L
154,Camisilla Esqueleto para Hombre 12353,21900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Camisillas","Negro, Blanco",L
155,Pantaloneta de Baño Estampada para Hombre 03044,144500.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Rosa Amaranto,M
156,Calzoncillo Brief para Hombre 37767,39900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Azul Prusia,L
157,Chaqueta de Cuero para Hombre 36754,719900.0,0.0,HOMBRE,"Ropa, Chaquetas",Negro,L
158,Camiseta Estampada Regular Fit para Hombre 36395,49215.0,-15.0,HOMBRE,"Ropa, Camisetas",Hueso,L
159,Gorra Beisbolera para Hombre 12712,39900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Índigo,UNICA
160,Buzo Unicolor para Hombre 37008,159900.0,0.0,HOMBRE,"Ropa, Buzos",Abeto,L
162,Camiseta Estampada para Hombre 36392,49215.0,-15.0,HOMBRE,"Ropa, Camisetas",Blanco,L
164,Polo Moda Slim Fit 36798,84915.0,-15.0,HOMBRE,"Polos, Ropa",Naranja,S
168,Pantaloneta de Baño Unicolor para Hombre 02556,144500.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Negro,L
169,Pantaloneta Estampada para Hombre 35845,76415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Azul Prusia,L
170,Tenis en Cuero para Hombre 35440,259900.0,0.0,HOMBRE,"Tenis, Zapatos",Gris,42
171,Pantaloneta Estampada para Hombre 02647,102000.0,-40.0,HOMBRE,"Ropa, Pantalonetas",Coral,XL
175,Pantalón Unicolor con Prenses para Hombre 05183,54950.0,-50.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales",Negro,L
178,Pantaloneta Ibiza para Hombre 03047,144500.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Aguamarina,M
180,Chaqueta Denim para Hombre 37694,239900.0,0.0,HOMBRE,"Ropa, Chaquetas",Azul Claro,L
183,Pantaloneta de Baño Estampada para Hombre 03048,144500.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Habano,M
184,Chaqueta Tipo Cazadora en Color Blanco 37693,239900.0,0.0,HOMBRE,"Ropa, Chaquetas",Blanco,L
185,Camisa Formal Semi Slim Fit 36741,139900.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Formales",Menta,42
186,Medias Formales con Diseño para Hombre 35115,12900.0,0.0,HOMBRE,"Medias, Ropa Interior, Ropa",Avellana,10-12
187,Pantalón Unicolor Regular Fit para Hombre 12338,99900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales","Navy, Abeto",42
188,Tenis en Cuero Clásicos con Suela de Caja 31137,267900.0,0.0,HOMBRE,"Tenis, Zapatos","Negro, Chocolate",42
189,Gorro Tejido para Hombre 37565,44900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Hoja Seca,UNICA
192,Blazer Business Lino para Hombre 21883 35075,499900.0,0.0,HOMBRE,"Ropa, Blazers",Azul Prusia,42
194,Buzo Unicolor para Hombre 12567,64900.0,0.0,HOMBRE,"Ropa, Buzos",Negro,L
195,Traje en Mezclas de Lino Semi Slim Fit para Hombre 36626,789900.0,0.0,HOMBRE,"Ropa, Trajes",Arena,42
196,Bermuda con Bolsillos Tipo Parche para Hombre 05378,97665.0,-15.0,HOMBRE,"Ropa, Bermudas","Hueso, Negro",38
197,Gorro Tejido para Hombre 34222,44900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Verde Pino,UNICA
198,Polo Premium Slim Fit para Hombre 25938,76415.0,-15.0,HOMBRE,"Polos, Ropa","Azul Marino, Negro, Blanco",L
199,Camisa Denim Manga Corta para Hombre 36333,114900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Azul Prusia,L
201,Tenis para Hombre en Cuero 36501,254900.0,0.0,HOMBRE,"Tenis, Zapatos","Abeto, Ganache",42
202,Set de Pijama Tejido Plano Manga Corta Pantalón Largo para Hombre 34778,159900.0,0.0,HOMBRE,"Ropa, Pijamas",Gris Ceniza,L
203,Pantalón Business Slim Fit para Hombre 37683,169900.0,0.0,HOMBRE,"Pantalones Business, Ropa, Pantalones",Navy,38
204,Camisa Casual Estampada Manga Corta para Hombre 11502,59900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Granate,L
205,Bóxer Largo Medio para Hombre 12554,16900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Bóxers",Multicolor,L
206,Pantalón Bussines Slim Fit para Hombre 35218,140925.0,-25.0,HOMBRE,"Pantalones Business, Ropa, Pantalones",Vinotinto,36
207,Pantalón Casual Wf Unicolor Regular Fit para Hombre 32451,169900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales","Azul Prusia, Marrón, Khaki, Gris",42
208,Medias Caña Medias para Hombre 08926,19900.0,0.0,HOMBRE,"Medias, Ropa Interior, Ropa","Negro, Gris Carbón, Azul Prusia",10-12
209,Polo Unicolor Regular Fit para Hombre 36649,50915.0,-15.0,HOMBRE,"Polos, Ropa","Escarlata, Negro, Navy, Blanco",L
210,Polo Unicolor Regular Fit para Hombre 36649,50915.0,-15.0,HOMBRE,"Polos, Ropa","Escarlata, Negro, Navy, Blanco",L
211,Blazer Business para Hombre 37930,309900.0,0.0,HOMBRE,"Ropa, Blazers",Navy,L
213,Camisilla Cuello V para Hombre 12351,24900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Camisillas","Negro, Blanco",L
214,Camisilla Cuello V para Hombre 12351,24900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Camisillas","Negro, Blanco",L
215,Jean Tipo Cargo Bota Recta para Hombre 05366,159900.0,0.0,HOMBRE,"Ropa, Jeans",Azul Prusia,38
216,Mocasín Formal con Bigotera Minimalista 23975,259900.0,0.0,HOMBRE,"Mocasines, Zapatos","Café, Negro",42
217,Polo Unicolor Jersey para Hombre 12253,33915.0,-15.0,HOMBRE,"Polos, Ropa",Amarillo Pastel,L
218,Camisa Casual Unicolor Manga Larga para Hombre 09734,45435.0,-35.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Azul Marino,L
219,Polo Moda Slim Fit para Hombre 35637,84915.0,-15.0,HOMBRE,"Polos, Ropa",Ámbar,L
220,Bermuda Lino Slim Fit para Hombre 36360,135915.0,-15.0,HOMBRE,"Ropa, Bermudas",Blanco,42
221,Bóxer Medio Silueta Confort para Hombre 36577,119900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Bóxers",Blanco,L
223,Pantaloneta Unicolor para Hombre 34477,76415.0,-15.0,HOMBRE,"Ropa, Pantalonetas",Amarillo,L
224,Chaqueta Acolchada Unicolor para Hombre 11923,144900.0,0.0,HOMBRE,"Ropa, Chaquetas","Gris Oscuro, Negro, Navy, Verde Pino",L
225,Camisilla Cuello Redondo para Hombre 12352,24900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Camisillas","Negro, Blanco",L
226,Camiseta Deportiva para Hombre 12178,29665.0,-15.0,HOMBRE,"Ropa, Camisetas","Negro, Carmesí, Blanco",L
227,Bermuda Unicolor Regular Fit para Hombre 04361,98515.0,-15.0,HOMBRE,"Ropa, Bermudas","Navy, Blanco",42
228,Bermuda Unicolor Regular Fit para Hombre 04361,98515.0,-15.0,HOMBRE,"Ropa, Bermudas","Navy, Blanco",42
229,Camisa Casual Cuadros Manga Corta para Hombre 12459,59900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Esmeralda,L
230,Buzo con Estampado Snoopy para Hombre 36189,109900.0,0.0,HOMBRE,"Ropa, Buzos",Negro,L
231,Camisa Casual Cuadros Manga Corta para Hombre 12485,59900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Verde Pino,L
232,Bermuda Unicolor para Hombre 12603,63665.0,-15.0,HOMBRE,"Ropa, Bermudas",Blanco,42
